ticket_id,ticket_text,category,priority,created_at,resolution_time_hours,resolved_at,cleaned_text
TKT-3225,lal printers offline on floor 15 after network maintenance last ight,Network,Low,2024-01-20 05:29:00,19.93,2024-01-21 01:24:48.000000000,lal printer offlin floor num network mainten last ight
TKT-3921,"no rush ut ARCHIVE_DB storage 95 percent full, need expansion urgently",Database,Low,2024-01-27 09:16:00,81.93,2024-01-30 19:11:48.000000000,rush ut archiv db storag num percent full need expans urgent
TKT-3508,escalating this - network printer floor printer not showing on the ntework,Network,High,2024-03-19 22:57:00,7.18,2024-03-20 06:07:48.000000000,escal network printer floor printer show ntework
TKT-1056,"wrong data committed to invoices, need rollback assistance, any help appreciated",Database,Critical,2024-03-08 09:17:00,21.62,2024-03-09 06:54:12.000000000,wrong data commit invoic need rollback assist help appreci
TKT-2639,"cannot work at all, my desktop machine - stored procedure in PROD_DB throwing 0x80070005 since deployment, urgent please",Database,High,2024-03-21 12:05:00,31.3,2024-03-22 19:23:00.000000000,cannot work desktop machin store procedur prod db throw 0x80070005 sinc deploy urgent pleas
TKT-2881,"me and two colleagues - start menu search not working after cumulative update, urgent please",Software,Low,2024-01-22 11:01:00,61.02,2024-01-25 00:02:12.000000000,two colleagu start menu search work cumul updat urgent pleas
TKT-2405,"cannot ping SRV-DB01 from my laptop, 100 percent packet loss",Network,Medium,2024-03-19 16:06:00,8.49,2024-03-20 00:35:24.000000000,cannot ping srv db01 laptop num percent packet loss
TKT-2310,"fingerprint login broken after windows update, have to type password",Access/Login,Low,2024-03-28 08:00:00,13.32,2024-03-28 21:19:12.000000000,fingerprint login broken window updat type password
TKT-1651,production is down - bulk email to audit bounced for 50 recipients,Email,High,2024-01-30 20:54:00,6.53,2024-01-31 03:25:48.000000000,product bulk email audit bounc num recipi
TKT-3049,"vpn disconnects automatically after 80 minutes of idle time, urgent please",Network,High,2024-03-30 13:37:00,8.56,2024-03-30 22:10:36.000000000,vpn disconnect automat num minut idl time urgent pleas
TKT-0031,"critical issue - cannot access cloud portal from office network, works on mobile data",Network,High,2024-03-14 11:05:00,14.13,2024-03-15 01:12:48.000000000,critic issu cannot access cloud portal offic network work mobil data
TKT-0028,"acnnot work at all, outlook keeps crashing when i open attachments since monday",Software,High,2024-01-11 03:34:00,20.83,2024-01-12 00:23:48.000000000,acnnot work outlook keep crash open attach sinc monday
TKT-0020,"machine boots into safe mode randomly, very slow to use",Software,Medium,2024-03-04 14:40:00,35.29,2024-03-06 01:57:23.999999999,machin boot safe mode randomli slow use
TKT-0143,"hard drive making clicking noise, afraid of losing data",Hardware,Medium,2024-04-01 11:06:00,10.23,2024-04-01 21:19:48.000000000,hard drive make click nois afraid lose data
TKT-2727,start menu search not working after cumulative update,Software,Medium,2024-03-18 12:51:00,25.07,2024-03-19 13:55:12.000000000,start menu search work cumul updat
TKT-1408,"low priority - database certificate expiring in 15 days, renewal needed",Database,Low,2024-01-15 22:37:00,93.44,2024-01-19 20:03:24.000000000,low prioriti databas certif expir num day renew need
TKT-0309,no rush but privileged access request for SRV-01 for weekend maintenance,Access/Login,Low,2024-01-30 22:00:00,15.15,2024-01-31 13:09:00.000000000,rush privileg access request srv num weekend mainten
TKT-3391,"at your convenience, cannot instlal Slack as it says another version already installed",Software,Low,2024-01-20 01:49:00,35.15,2024-01-21 12:58:00.000000000,conveni cannot instlal slack say anoth version alreadi instal
TKT-1819,"need bulk access provisioning for 5 new joiners in finance team, please help asap",Access/Login,Medium,2024-02-20 21:56:00,9.71,2024-02-21 07:38:36.000000000,need bulk access provis num new joiner financ team pleas help asap
TKT-2425,"email signature disappeared after recent outlook update, please help asap",Email,Medium,2024-03-28 11:40:00,16.66,2024-03-29 04:19:36.000000000,email signatur disappear recent outlook updat pleas help asap
TKT-1890,"numpad not working after coffee spill on keyboard yesterday, please help asap",Hardware,Medium,2024-02-16 16:36:00,29.82,2024-02-17 22:25:12.000000000,numpad work coffe spill keyboard yesterday pleas help asap
TKT-0384,software installation failing with error 503,Software,Low,2024-02-19 17:07:00,32.73,2024-02-21 01:50:48.000000000,softwar instal fail error num
TKT-2164,not uurgent - our entire team - privileged access request for APPSRV-03 for weekend maintenance,Access/Login,Low,2024-02-14 09:54:00,15.46,2024-02-15 01:21:36.000000000,uurgent entir team privileg access request appsrv num weekend mainten
TKT-2480,"escalating this - internet is completely doown in server room, 10 users affected plase help",Network,High,2024-04-01 16:29:00,5.36,2024-04-01 21:50:36.000000000,escal internet complet doown server room num user affect plase help
TKT-0733,"my laptop - locked out of my account after 2 ffailed attempts suddenly today, tanks in advance",Access/Login,Low,2024-01-16 22:48:00,14.95,2024-01-17 13:45:00.000000000,laptop lock account num ffail attempt suddenli today tank advanc
TKT-0460,"need access to EP for HR team, approved by manager",Access/Login,Medium,2024-03-04 20:07:00,7.92,2024-03-05 04:02:12.000000000,need access ep hr team approv manag
TKT-3108,connected to wifi but no internet access on my machine,Network,Medium,2024-03-05 12:33:00,12.65,2024-03-06 01:12:00.000000000,connect wifi internet access machin
TKT-0090,"not urgent - new joiner Prya needs laptop setup and CRM access today, urgent please",Access/Login,Low,2024-02-21 05:20:00,14.35,2024-02-21 19:41:00.000000000,urgent new joiner prya need laptop setup crm access today urgent pleas
TKT-0154,low priority - numpad not working after coffe spill on keyboard yesterday,Hardware,Low,2024-02-26 14:38:00,29.64,2024-02-27 20:16:24.000000000,low prioriti numpad work coff spill keyboard yesterday
TKT-2437,windows update stuck at 3 prcent for 3 hours now,Software,Medium,2024-02-29 06:43:00,24.3,2024-03-01 07:01:00.000000000,window updat stuck num prcent num hour
TKT-3976,scanner in server room not detected after driver update,Hardware,Medium,2024-01-25 12:11:00,27.02,2024-01-26 15:12:12.000000000,scanner server room detect driver updat
TKT-1210,"the new joiner - site-to-site vpn tunnel keeps dropping, production systems unreachable, any help appreciated",Network,Medium,2024-02-13 16:48:00,13.52,2024-02-14 06:19:12.000000000,new joiner site site vpn tunnel keep drop product system unreach help appreci
TKT-1395,several users on my floor - network priter the shared printer not showing on the network,Network,Medium,2024-03-22 17:27:00,5.68,2024-03-22 23:07:48.000000000,sever user floor network priter share printer show network
TKT-2486,"network share \\SRV-01\Reports giving access denied to finance team, please help asap",Network,Medium,2024-02-11 12:11:00,11.46,2024-02-11 23:38:36.000000000,network share srv num report give access deni financ team pleas help asap
TKT-3669,"escalating this - my desktop machine - inbox rules stopped working, emmails landing in wrong folders, please hlp asap",Email,Critical,2024-02-11 03:31:00,2.0,2024-02-11 05:31:00.000000000,escal desktop machin inbox rule stop work emmail land wrong folder pleas hlp asap
TKT-1540,"escalating this - my desktop machine - cannot install Chrome as it says aother version already installed, please escalate if needed",Software,Critical,2024-02-16 23:49:00,16.51,2024-02-17 16:19:36.000000000,escal desktop machin cannot instal chrome say aother version alreadi instal pleas escal need
TKT-1707,"laptop charger cable fraying, worried it will stop working, urgent please",Hardware,Medium,2024-01-15 21:23:00,20.02,2024-01-16 17:24:12.000000000,laptop charger cabl fray worri stop work urgent pleas
TKT-3086,"machine boots into safe mode randomly, very slow to use",Software,Low,2024-02-05 10:22:00,72.58,2024-02-08 10:56:47.999999999,machin boot safe mode randomli slow use
TKT-1758,"site-to-site vpn tunnel keeps droppig, production systems unreachable, please look into it",Network,Medium,2024-04-03 16:57:00,29.72,2024-04-04 22:40:12.000000000,site site vpn tunnel keep droppig product system unreach pleas look
TKT-1202,front usb ports on desktop not working at all,Hardware,Critical,2024-02-26 11:58:00,4.94,2024-02-26 16:54:24.000000000,front usb port desktop work
TKT-3807,"need bulk access provisionng for 15 neew joiners in HR team, already raised this verbally",Access/Login,Medium,2024-03-07 09:15:00,5.74,2024-03-07 14:59:24.000000000,need bulk access provisionng num neew joiner hr team alreadi rais verbal
TKT-3269,"machine boots into safe mode randomly, very slow to use",Software,Low,2024-04-02 08:06:00,47.64,2024-04-04 07:44:24.000000000,machin boot safe mode randomli slow use
TKT-1667,i and my manager - global address list not showing new employees added this week,Email,Medium,2024-03-24 11:22:00,17.5,2024-03-25 04:52:00.000000000,manag global address list show new employe ad week
TKT-2505,shared mailbox for audit not loading in outlook,Email,Medium,2024-02-01 06:49:00,26.04,2024-02-02 08:51:24.000000000,share mailbox audit load outlook
TKT-2551,hdmi monitor shows no signal after sleep mode,Hardware,Medium,2024-02-26 00:31:00,12.26,2024-02-26 12:46:36.000000000,hdmi monitor show signal sleep mode
TKT-0054,"scanner in wing B not detected after driver update, kindly reesolve this",Hardware,Medium,2024-03-07 05:24:00,21.12,2024-03-08 02:31:12.000000000,scanner wing detect driver updat kindli reesolv
TKT-2206,"statistics on ARCHIVE_DB outdated, query plans are inefficient, already raised this verbally",Database,Medium,2024-02-29 07:17:00,42.67,2024-03-02 01:57:12.000000000,statist archiv db outdat queri plan ineffici alreadi rais verbal
TKT-0777,mobile phone not syncing emails and calendar with outlook,Email,Medium,2024-03-03 17:19:00,10.33,2024-03-04 03:38:48.000000000,mobil phone sync email calendar outlook
TKT-3102,"all pprinters offline on floor 20 after network maintenance last night, please look into it",Network,Low,2024-01-24 15:08:00,14.61,2024-01-25 05:44:36.000000000,pprinter offlin floor num network mainten last night pleas look
TKT-3917,"teams stuck on grey loading screen, cannot join standup",Software,Low,2024-02-23 07:27:00,47.58,2024-02-25 07:01:47.999999999,team stuck grey load screen cannot join standup
TKT-3789,urgent - need read-only access to Jira for upcoming audit by marketiing team,Access/Login,High,2024-02-07 12:26:00,8.16,2024-02-07 20:35:36.000000000,urgent need read access jira upcom audit marketi team
TKT-1393,"windows updae stuck at 5 percnt for 5 hours now, this is blocking my wokr",Software,Low,2024-01-17 14:34:00,43.47,2024-01-19 10:02:12.000000000,window upda stuck num percnt num hour block wokr
TKT-3808,escalating this - i - task scheduelr job failing with 503 on SRV-01,Software,High,2024-03-04 12:54:00,19.18,2024-03-05 08:04:48.000000000,escal task scheduelr job fail num srv num
TKT-2348,"our entire team - user Amit not able to access Reports after folder permission change, please escalate if needed",Access/Login,Low,2024-03-22 20:33:00,9.1,2024-03-23 05:39:00.000000000,entir team user amit abl access report folder permiss chang pleas escal need
TKT-1495,all printers ofline on floor 10 after network maintenance last night,Network,Medium,2024-02-14 15:07:00,10.42,2024-02-15 01:32:12.000000000,printer oflin floor num network mainten last night
TKT-0014,"not urgent - everyone in the HR department - computer not turning on, no lights no fan no response",Hardware,Low,2024-03-21 11:47:00,56.51,2024-03-23 20:17:36.000000000,urgent everyon hr depart comput turn light fan respons
